dataset,repeat,calibration_method,fitted_intercept,fitted_slope,calibration_prevalence,brier,brier_skill
mimic_temporal_test,18,intercept_and_slope,-2.223633703765551,0.6723640510727095,0.007550031321090634,0.008079352819774706,0.02110219222006282
mimic_temporal_test,19,uncalibrated,0.0,1.0,0.008244611789145677,0.009553316135028564,-0.18182719437462747
mimic_temporal_test,19,intercept_only,-1.2061024702012617,1.0,0.008244611789145677,0.00807268254149251,0.0013398882396969958
mimic_temporal_test,19,intercept_and_slope,-1.8922130877540022,0.7570338303950717,0.008244611789145677,0.007938684243177315,0.017916627741508595
mimic_temporal_test,20,uncalibrated,0.0,1.0,0.008371852474383424,0.009456954180377508,-0.17452614623383922
mimic_temporal_test,20,intercept_only,-1.1592881700321853,1.0,0.008371852474383424,0.008003265276884369,0.006017778699773602
mimic_temporal_test,20,intercept_and_slope,-2.057541013187932,0.691431202291437,0.008371852474383424,0.007886189355763308,0.020558266876867348
mimic_temporal_test,21,uncalibrated,0.0,1.0,0.006882893412551541,0.009871308506332898,-0.17182013542509988
mimic_temporal_test,21,intercept_only,-1.2997652273377451,1.0,0.006882893412551541,0.008342575468783541,0.00965531475869752
mimic_temporal_test,21,intercept_and_slope,-2.295821664663187,0.6716683444717229,0.006882893412551541,0.008255420548873675,0.020001449720057685
mimic_temporal_test,22,uncalibrated,0.0,1.0,0.009127454856992224,0.009387139711849459,-0.19274935802630577
mimic_temporal_test,22,intercept_only,-1.0211312969925044,1.0,0.009127454856992224,0.007927957206019647,-0.007342615344639425
mimic_temporal_test,22,intercept_and_slope,-1.9536892792011222,0.6926192410924656,0.009127454856992224,0.007711722837091963,0.02013257013663683
mimic_temporal_test,23,uncalibrated,0.0,1.0,0.007909383849233472,0.009648468090653355,-0.18145549414556084
mimic_temporal_test,23,intercept_only,-1.1898150478042948,1.0,0.007909383849233472,0.008139259972887287,0.0033471300421158423
mimic_temporal_test,23,intercept_and_slope,-1.873915278866317,0.7652851068578522,0.007909383849233472,0.00800418086712469,0.019887574613009718
mimic_temporal_test,24,uncalibrated,0.0,1.0,0.008286366076221149,0.00959379672284449,-0.1881840373424839
mimic_temporal_test,24,intercept_only,-1.1535867226705179,1.0,0.008286366076221149,0.008092694444282547,-0.0022737228620128835
mimic_temporal_test,24,intercept_and_slope,-2.0643092207022367,0.6934755571880125,0.008286366076221149,0.00792492936938889,0.018503847246133964
mimic_temporal_test,25,uncalibrated,0.0,1.0,0.009087947882736156,0.009331146398181268,-0.18469087738361445
mimic_temporal_test,25,intercept_only,-1.0810945176062323,1.0,0.009087947882736156,0.007890236364627625,-0.0017516222226157119
mimic_temporal_test,25,intercept_and_slope,-2.1076087673753956,0.6559101385708812,0.009087947882736156,0.007720780312443661,0.01976267308186186
mimic_temporal_test,26,uncalibrated,0.0,1.0,0.008761976802824005,0.009428616943645562,-0.18597865323570995
mimic_temporal_test,26,intercept_only,-1.086700992888981,1.0,0.008761976802824005,0.007961400381699294,-0.0014248069459952273
mimic_temporal_test,26,intercept_and_slope,-2.0281232119629022,0.6863684787682873,0.008761976802824005,0.007785906741635747,0.02064966189052575
mimic_temporal_test,27,uncalibrated,0.0,1.0,0.007963077323105925,0.009649664325964665,-0.1835190116453218
mimic_temporal_test,27,intercept_only,-1.2340845087236163,1.0,0.007963077323105925,0.008150782001325397,0.00031699212700309065
mimic_temporal_test,27,intercept_and_slope,-2.0544023515413614,0.715665882943833,0.007963077323105925,0.008009595120836595,0.01763338279188642
mimic_temporal_test,28,uncalibrated,0.0,1.0,0.008666407967921355,0.009493365992433543,-0.18985419754461574
mimic_temporal_test,28,intercept_only,-1.1306728233127996,1.0,0.008666407967921355,0.00801926799842418,-0.005097633101393884
mimic_temporal_test,28,intercept_and_slope,-1.9620504447511897,0.7149319370609691,0.008666407967921355,0.00784332057279732,0.01695479625781826
mimic_temporal_test,29,uncalibrated,0.0,1.0,0.00787022165114038,0.009541866508911206,-0.16683754283423569
